Year,LGA,Subgroup,Count
2020,Mildura,B322 Non-residential non-aggravated burglary,7
2020,Moorabool,B321 Residential non-aggravated burglary,12
2020,Moorabool,B322 Non-residential non-aggravated burglary,9
2020,Mount Alexander,B321 Residential non-aggravated burglary,1
2020,Mount Alexander,B322 Non-residential non-aggravated burglary,2
2020,Moyne,B311 Residential aggravated burglary,1
2020,Moyne,B321 Residential non-aggravated burglary,1
2020,Moyne,B322 Non-residential non-aggravated burglary,4
2020,Northern Grampians,B321 Residential non-aggravated burglary,3
2020,Northern Grampians,B322 Non-residential non-aggravated burglary,8
2020,Pyrenees,B321 Residential non-aggravated burglary,2
2020,Pyrenees,B322 Non-residential non-aggravated burglary,3
2020,Southern Grampians,B321 Residential non-aggravated burglary,3
2020,Southern Grampians,B322 Non-residential non-aggravated burglary,4
2020,Surf Coast,B321 Residential non-aggravated burglary,1
2020,Surf Coast,B322 Non-residential non-aggravated burglary,3
2020,Swan Hill,B321 Residential non-aggravated burglary,2
2020,Warrnambool,B321 Residential non-aggravated burglary,1
2020,West Wimmera,B321 Residential non-aggravated burglary,2
2020,West Wimmera,B322 Non-residential non-aggravated burglary,2
2020,Yarriambiack,B321 Residential non-aggravated burglary,6
2020,Yarriambiack,B322 Non-residential non-aggravated burglary,3
2019,Brimbank,B322 Non-residential non-aggravated burglary,1
2019,Hume,B321 Residential non-aggravated burglary,8
2019,Hume,B322 Non-residential non-aggravated burglary,3
2019,Melton,B321 Residential non-aggravated burglary,13
2019,Melton,B322 Non-residential non-aggravated burglary,5
2019,Merri-bek,B321 Residential non-aggravated burglary,1
2019,Nillumbik,B321 Residential non-aggravated burglary,3
2019,Nillumbik,B322 Non-residential non-aggravated burglary,1
2019,Whittlesea,B321 Residential non-aggravated burglary,3
2019,Whittlesea,B322 Non-residential non-aggravated burglary,2
2019,Wyndham,B321 Residential non-aggravated burglary,3
2019,Wyndham,B322 Non-residential non-aggravated burglary,9
2019,Yarra,B322 Non-residential non-aggravated burglary,1
2019,Alpine,B321 Residential non-aggravated burglary,1
2019,Bass Coast,B311 Residential aggravated burglary,1
2019,Bass Coast,B321 Residential non-aggravated burglary,2
2019,Bass Coast,B322 Non-residential non-aggravated burglary,3
2019,Baw Baw,B311 Residential aggravated burglary,2
2019,Baw Baw,B321 Residential non-aggravated burglary,18
2019,Baw Baw,B322 Non-residential non-aggravated burglary,19
2019,Benalla,B321 Residential non-aggravated burglary,2
2019,Benalla,B322 Non-residential non-aggravated burglary,2
2019,East Gippsland,B321 Residential non-aggravated burglary,7
2019,East Gippsland,B322 Non-residential non-aggravated burglary,8
2019,Greater Shepparton,B311 Residential aggravated burglary,1
2019,Greater Shepparton,B321 Residential non-aggravated burglary,22
2019,Greater Shepparton,B322 Non-residential non-aggravated burglary,17
2019,Indigo,B321 Residential non-aggravated burglary,4
2019,Indigo,B322 Non-residential non-aggravated burglary,2
2019,Knox,B322 Non-residential non-aggravated burglary,2
2019,Latrobe,B321 Residential non-aggravated burglary,3
2019,Latrobe,B322 Non-residential non-aggravated burglary,5
2019,Manningham,B321 Residential non-aggravated burglary,1
2019,Manningham,B322 Non-residential non-aggravated burglary,2
2019,Mansfield,B321 Residential non-aggravated burglary,2
2019,Maroondah,B322 Non-residential non-aggravated burglary,1
2019,Mitchell,B321 Residential non-aggravated burglary,6
2019,Mitchell,B322 Non-residential non-aggravated burglary,6
2019,Moira,B311 Residential aggravated burglary,1
2019,Moira,B321 Residential non-aggravated burglary,7
2019,Moira,B322 Non-residential non-aggravated burglary,11
2019,Murrindindi,B321 Residential non-aggravated burglary,7
2019,Murrindindi,B322 Non-residential non-aggravated burglary,7
2019,South Gippsland,B321 Residential non-aggravated burglary,11
2019,South Gippsland,B322 Non-residential non-aggravated burglary,5
2019,Strathbogie,B321 Residential non-aggravated burglary,5
2019,Strathbogie,B322 Non-residential non-aggravated burglary,2
2019,Towong,B321 Residential non-aggravated burglary,2
2019,Wangaratta,B321 Residential non-aggravated burglary,5
2019,Wangaratta,B322 Non-residential non-aggravated burglary,2
2019,Wellington,B321 Residential non-aggravated burglary,12
2019,Wellington,B322 Non-residential non-aggravated burglary,6
2019,Yarra Ranges,B321 Residential non-aggravated burglary,11
2019,Yarra Ranges,B322 Non-residential non-aggravated burglary,17
2019,Cardinia,B321 Residential non-aggravated burglary,9
2019,Cardinia,B322 Non-residential non-aggravated burglary,17
2019,Casey,B321 Residential non-aggravated burglary,10
2019,Casey,B322 Non-residential non-aggravated burglary,7
2019,Frankston,B321 Residential non-aggravated burglary,2
2019,Frankston,B322 Non-residential non-aggravated burglary,2
2019,Greater Dandenong,B322 Non-residential non-aggravated burglary,1
2019,Kingston,B322 Non-residential non-aggravated burglary,1
2019,Mornington Peninsula,B321 Residential non-aggravated burglary,8
2019,Mornington Peninsula,B322 Non-residential non-aggravated burglary,4
2019,Port Phillip,B322 Non-residential non-aggravated burglary,1
2019,Ararat,B321 Residential non-aggravated burglary,4
2019,Ararat,B322 Non-residential non-aggravated burglary,5
2019,Ballarat,B321 Residential non-aggravated burglary,1
2019,Ballarat,B322 Non-residential non-aggravated burglary,5
2019,Buloke,B321 Residential non-aggravated burglary,4
2019,Buloke,B322 Non-residential non-aggravated burglary,2
2019,Campaspe,B321 Residential non-aggravated burglary,15
2019,Campaspe,B322 Non-residential non-aggravated burglary,19
2019,Central Goldfields,B321 Residential non-aggravated burglary,7
2019,Central Goldfields,B322 Non-residential non-aggravated burglary,1
2019,Colac-Otway,B321 Residential non-aggravated burglary,7
2019,Colac-Otway,B322 Non-residential non-aggravated burglary,4
2019,Corangamite,B321 Residential non-aggravated burglary,4
2019,Corangamite,B322 Non-residential non-aggravated burglary,8
2019,Gannawarra,B321 Residential non-aggravated burglary,1
2019,Gannawarra,B322 Non-residential non-aggravated burglary,2
2019,Glenelg,B321 Residential non-aggravated burglary,3
2019,Glenelg,B322 Non-residential non-aggravated burglary,4
2019,Golden Plains,B321 Residential non-aggravated burglary,6
2019,Golden Plains,B322 Non-residential non-aggravated burglary,10
2019,Greater Bendigo,B321 Residential non-aggravated burglary,9
2019,Greater Bendigo,B322 Non-residential non-aggravated burglary,15
2019,Greater Geelong,B321 Residential non-aggravated burglary,3
2019,Greater Geelong,B322 Non-residential non-aggravated burglary,6
2019,Hepburn,B321 Residential non-aggravated burglary,7
2019,Hepburn,B322 Non-residential non-aggravated burglary,4
2019,Hindmarsh,B321 Residential non-aggravated burglary,4
2019,Hindmarsh,B322 Non-residential non-aggravated burglary,2
2019,Horsham,B321 Residential non-aggravated burglary,1
2019,Horsham,B322 Non-residential non-aggravated burglary,1
2019,Loddon,B321 Residential non-aggravated burglary,5
2019,Loddon,B322 Non-residential non-aggravated burglary,3
2019,Macedon Ranges,B321 Residential non-aggravated burglary,9
2019,Macedon Ranges,B322 Non-residential non-aggravated burglary,11
2019,Mildura,B321 Residential non-aggravated burglary,2
2019,Mildura,B322 Non-residential non-aggravated burglary,12
2019,Moorabool,B311 Residential aggravated burglary,1
2019,Moorabool,B321 Residential non-aggravated burglary,10
2019,Moorabool,B322 Non-residential non-aggravated burglary,12
2019,Mount Alexander,B321 Residential non-aggravated burglary,2
2019,Mount Alexander,B322 Non-residential non-aggravated burglary,2
2019,Moyne,B321 Residential non-aggravated burglary,4
2019,Moyne,B322 Non-residential non-aggravated burglary,4
2019,Northern Grampians,B321 Residential non-aggravated burglary,2
2019,Northern Grampians,B322 Non-residential non-aggravated burglary,7
2019,Pyrenees,B321 Residential non-aggravated burglary,5
2019,Pyrenees,B322 Non-residential non-aggravated burglary,4
2019,Southern Grampians,B321 Residential non-aggravated burglary,1
2019,Southern Grampians,B322 Non-residential non-aggravated burglary,5
2019,Surf Coast,B322 Non-residential non-aggravated burglary,2
2019,Swan Hill,B321 Residential non-aggravated burglary,2
2019,Swan Hill,B322 Non-residential non-aggravated burglary,4
2019,Warrnambool,B322 Non-residential non-aggravated burglary,1
2019,West Wimmera,B321 Residential non-aggravated burglary,3
2019,Yarriambiack,B321 Residential non-aggravated burglary,1
2019,Yarriambiack,B322 Non-residential non-aggravated burglary,2
2018,Banyule,B321 Residential non-aggravated burglary,1
2018,Banyule,B322 Non-residential non-aggravated burglary,2
2018,Brimbank,B321 Residential non-aggravated burglary,2
2018,Hume,B321 Residential non-aggravated burglary,2
2018,Hume,B322 Non-residential non-aggravated burglary,3
2018,Maribyrnong,B322 Non-residential non-aggravated burglary,1
